Created 04-09-2020 15:27 by Windographer 4.1.12

Latitude = N 38° 23' 20.760"
Longitude = W 73° 37' 21.480"
Elevation = 139 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	C1-SWI C3 Spd 100m Avg [m/s]	C1-SWI C3 Spd 100m StdDev [m/s]	C1-SWI C3 Spd 100m Max [m/s]	C2-SWI C3 Spd 99m Avg [m/s]	C2-SWI C3 Spd 99m StdDev [m/s]	C2-SWI C3 Spd 99m Max [m/s]	C3-SWI C3 Spd 80m Avg [m/s]	C3-SWI C3 Spd 80m StdDev [m/s]	C3-SWI C3 Spd 80m Max [m/s]	C4-SWI C3 Spd 65m Avg [m/s]	C4-SWI C3 Spd 65m StdDev [m/s]	C4-SWI C3 Spd 65m Max [m/s]	C5-SWI C3 Spd 50m Avg [m/s]	C5-SWI C3 Spd 50m StdDev [m/s]	C5-SWI C3 Spd 50m Max [m/s]	A1-SWI PV1 Direction 98m VectorAvg [°]	A1-SWI PV1 Direction 98m VectorStdDev [°]	A2-SWI PV1 Direction 48m VectorAvg [°]	A2-SWI PV1 Direction 48m VectorStdDev [°]	A3-Other Model Temperature 80m Avg [°C]	A3-Other Model Temperature 80m StdDev [°C]	A3-Other Model Temperature 80m Max [°C]	A3-Other Model Temperature 80m TimeOfMax [°C]	A3-Other Model Temperature 80m Min [°C]	A3-Other Model Temperature 80m TimeOfMin [°C]	A4-Humidity  0m Avg [%]	A4-Humidity  0m StdDev [%]	A4-Humidity  0m Max [%]	A4-Humidity  0m TimeOfMax [%RH]	A4-Humidity  0m Min [%]	A4-Humidity  0m TimeOfMin [%RH]	A5-Setra 276 Pressure 0m Avg [mbar]	I1-Inner Temp Avg [°C]	I2-Battery 1 Avg	I3-Battery 2 Avg	I4-12V Power Avg	A3-Other Model Temperature 80m Sample [°C]	A4-Humidity  0m Sample [%]	A5-Setra 276 Pressure 0m Sample [mbar]	C1-SWI C3 Spd 100m Min [m/s]	C2-SWI C3 Spd 99m Min [m/s]	C3-SWI C3 Spd 80m Min [m/s]	C4-SWI C3 Spd 65m Min [m/s]	C5-SWI C3 Spd 50m Min [m/s]	A1-SWI PV1 Direction 98m Min [°]	A1-SWI PV1 Direction 98m Max [°]	A2-SWI PV1 Direction 48m Min [°]	A2-SWI PV1 Direction 48m Max [°]	A3-SWI Model 115 Temperature 0m Sample [°C]	A4-Other Model Temperature 0m Sample [°C]	A3-SWI Model 115 Temperature 0m Sample (1) [°C]	A4-Other Model Temperature 0m Sample (1) [°C]	A3-Vaisala HMP50 Temperature 0m Sample [°C]	
2018-01-31 12:00	9.902	1.367	13.824	9.684	1.342	14.388	9.086	1.613	14.319	8.452	1.747	13.597	7.821	1.807	14.420	197.2	9.5	213.4	13.0														19.88	9.0395	9.0060	13.628	18.36	54.0	997.2														
2018-01-31 13:00	9.230	1.586	14.594	8.993	1.567	14.007	8.382	1.691	13.939	7.795	1.741	13.597	7.339	1.665	15.183	195.1	11.1	209.8	14.1														22.72	9.0385	9.0018	13.584	21.42	44.9	996.6														
2018-01-31 14:00	11.049	1.442	15.365	10.762	1.418	15.150	10.050	1.726	14.699	9.251	1.806	15.501	8.429	1.808	14.420	196.0	9.1	210.1	14.2														25.02	9.0368	8.9986	13.534	23.82	38.5	996.1														
2018-01-31 15:00	11.706	1.545	16.135	11.444	1.512	16.293	10.551	1.877	15.839	9.681	1.836	15.120	8.938	1.883	14.420	193.7	8.8	207.1	13.9														26.91	9.0375	8.9945	13.491	25.67	34.5	995.4														
2018-01-31 16:00	12.085	1.613	17.291	11.845	1.595	16.293	11.203	1.894	16.599	10.355	1.967	15.501	9.470	1.927	15.183	194.4	7.6	208.8	12.5														28.94	9.0379	8.9909	13.437	26.97	30.3	994.8														
2018-01-31 17:00	11.347	1.853	16.135	11.137	1.804	16.293	10.179	2.056	16.219	9.268	2.036	15.120	8.498	1.927	15.564	196.4	9.0	210.1	13.9														30.24	9.0373	8.9891	13.397	28.13	28.4	994.1														
2018-01-31 18:00	11.696	1.753	16.906	11.414	1.711	16.293	10.671	1.883	15.839	9.831	1.894	15.120	9.005	1.908	15.564	193.0	9.1	205.2	12.9														30.81	9.0351	8.9883	13.365	27.95	29.5	993.8														
2018-01-31 19:00	13.127	1.564	17.291	12.791	1.607	17.055	11.782	1.874	16.979	10.660	1.936	16.263	9.574	1.974	15.183	195.4	7.7	209.2	12.9														29.66	9.0358	8.9882	13.385	26.22	35.4	993.4														
2018-01-31 20:00	13.203	1.796	18.061	12.846	1.833	18.198	11.653	2.016	17.359	10.450	2.101	17.406	9.416	2.041	17.471	195.0	8.6	209.2	13.2														27.84	9.0361	8.9923	13.447	25.10	38.8	993.2														
2018-01-31 21:00	13.230	1.730	18.447	12.888	1.763	18.198	11.965	1.923	18.499	10.768	1.994	17.025	9.615	1.985	15.945	196.3	8.2	210.5	12.6														25.81	9.0373	8.9948	13.249	23.34	41.3	993.7														
2018-01-31 22:00	12.774	1.455	17.676	12.519	1.438	17.436	11.468	1.645	16.979	10.349	1.770	15.501	9.113	1.871	15.183	197.1	7.8	211.9	12.6														23.58	9.0382	8.9978	13.007	21.81	44.5	994.3														
