Created 04-09-2020 15:33 by Windographer 4.1.12

Latitude = N 38° 31' 27.840"
Longitude = W 73° 35' 27.180"
Elevation = 85 m
Calm threshold = 0 m/s

Included flags: <Unflagged data>
Excluded flags: 

Time stamps indicate the beginning of the time step.

Date/Time	C1-SWI C3 Spd 100m Avg [m/s]	C1-SWI C3 Spd 100m StdDev [m/s]	C1-SWI C3 Spd 100m Max [m/s]	C2-SWI C3 Spd 99m Avg [m/s]	C2-SWI C3 Spd 99m StdDev [m/s]	C2-SWI C3 Spd 99m Max [m/s]	C3-SWI C3 Spd 80m Avg [m/s]	C3-SWI C3 Spd 80m StdDev [m/s]	C3-SWI C3 Spd 80m Max [m/s]	C4-SWI C3 Spd 65m Avg [m/s]	C4-SWI C3 Spd 65m StdDev [m/s]	C4-SWI C3 Spd 65m Max [m/s]	C5-SWI C3 Spd 50m Avg [m/s]	C5-SWI C3 Spd 50m StdDev [m/s]	C5-SWI C3 Spd 50m Max [m/s]	A1-SWI PV1 Direction 98m VectorAvg [°]	A1-SWI PV1 Direction 98m VectorStdDev [°]	A2-SWI PV1 Direction 48m VectorAvg [°]	A2-SWI PV1 Direction 48m VectorStdDev [°]	A3-Other Model Temperature 100m Avg [°C]	A3-Other Model Temperature 100m StdDev [°C]	A3-Other Model Temperature 100m Max [°C]	A3-Other Model Temperature 100m TimeOfMax [°C]	A3-Other Model Temperature 100m Min [°C]	A3-Other Model Temperature 100m TimeOfMin [°C]	A4-Humidity  0m Avg [%]	A4-Humidity  0m StdDev [%]	A4-Humidity  0m Max [%]	A4-Humidity  0m TimeOfMax [%RH]	A4-Humidity  0m Min [%]	A4-Humidity  0m TimeOfMin [%RH]	A5-Setra 276 Pressure 0m Avg [mbar]	I1-Inner Temp Avg [°C]	I2-Battery 1 Avg	I3-Battery 2 Avg	I4-12V Power Avg	A3-Other Model Temperature 100m Sample [°C]	A4-Humidity  0m Sample [%]	A5-Setra 276 Pressure 0m Sample [mbar]	
2017-10-20 14:00	9.291	1.479	14.134	9.269	1.455	14.119	8.822	1.454	14.811	8.369	1.606	13.988	7.721	1.757	12.485	211.2	11.5	205.0	16.6														18.51	9.1235	9.4595	13.785	14.99	50.0	1008.3
2017-10-20 15:00	8.574	1.468	13.362	8.609	1.443	12.964	8.207	1.468	12.524	7.840	1.529	12.083	7.372	1.607	12.104	215.0	11.3	208.1	15.5														19.26	9.1225	9.4605	13.760	15.54	49.2	1008.2
2017-10-20 16:00	8.934	1.233	12.975	8.998	1.260	12.964	8.488	1.337	12.524	8.000	1.476	12.083	7.435	1.607	12.866	216.0	8.8	205.7	12.7														19.55	9.1235	9.4627	13.757	15.77	46.1	1008.3
2017-10-20 17:00	9.332	1.461	13.362	9.341	1.462	13.349	8.864	1.529	14.049	8.349	1.584	12.464	7.720	1.681	12.866	214.1	9.4	207.6	14.9														19.18	9.1227	9.4627	13.758	15.97	45.1	1008.7
2017-10-20 18:00	9.239	1.201	12.975	9.269	1.204	12.579	8.785	1.198	12.524	8.256	1.357	12.464	7.604	1.395	12.104	207.2	7.4	202.2	11.6														18.38	9.1243	9.4618	13.761	15.69	44.6	1009.2
2017-10-20 19:00	7.383	1.046	11.045	7.381	1.038	11.039	6.849	1.036	10.238	6.364	1.104	10.179	5.862	1.114	9.818	209.1	7.1	201.7	10.4														16.59	9.1235	9.4586	13.511	14.27	55.1	1010.0
2017-10-20 20:00	7.479	1.079	11.817	7.489	1.082	11.809	6.655	1.087	11.000	5.882	1.160	10.179	5.148	1.189	10.199	206.7	7.5	199.8	11.8														13.68	9.1261	9.4546	12.964	12.38	63.3	1011.0
2017-10-20 21:00	9.256	1.448	14.906	9.290	1.441	15.274	8.374	1.493	14.049	7.684	1.491	13.607	6.975	1.444	12.866	204.5	7.3	185.3	12.2														11.22	9.1276	9.4477	13.023	10.49	70.2	1012.0
2017-10-20 22:00	9.633	1.326	14.134	9.616	1.371	14.504	8.925	1.272	14.049	8.242	1.294	12.464	7.400	1.450	12.485	211.4	7.3	204.1	11.5														9.30	9.1281	9.4394	13.061	9.35	76.4	1012.6
2017-10-20 23:00	10.027	1.439	14.906	9.979	1.447	14.889	9.130	1.385	13.668	8.338	1.426	12.845	7.421	1.437	12.104	209.7	7.7	200.4	11.3														7.91	9.1295	9.4344	13.043	8.63	81.1	1012.4
2017-10-21 00:00	9.822	1.606	16.450	9.835	1.628	16.044	8.906	1.612	15.574	8.123	1.611	15.131	7.302	1.570	12.866	213.9	8.8	198.5	12.7														7.08	9.1317	9.4303	13.021	8.36	84.0	1012.5
2017-10-21 01:00	9.362	1.335	13.748	9.368	1.352	14.504	8.457	1.379	12.524	7.827	1.354	12.083	7.004	1.380	11.723	214.6	7.6	192.7	10.3														6.46	9.1305	9.4272	13.000	7.99	86.6	1012.8
